Model,R2 Score,RMSE,MAE
Linear Regression,0.935442265702383,4.336192010956008,3.4313950057409457
Ridge Regression,0.9354389828049304,4.336302261825966,3.432270825139448
Lasso Regression,0.9277056677598403,4.588666452497887,3.669919877929857
ElasticNet Regression,0.9040703010800292,5.285802178723949,4.248673926420827
Polynomial Regression,0.9400217781953238,4.179565713804645,3.2566802588945465
Decision Tree,1.0,0.0,0.0
Random Forest,0.9946834180532267,1.2443731193878367,0.868923265050166
Gradient Boosting,0.9524134856258457,3.7228566361328728,2.841745428373133
SVR,0.9415038981759931,4.127602128689189,3.1255092182533963
K-Nearest Neighbors,0.9701012802349276,2.950941915693925,2.0831032608695654
